[2024-08-21 23:40:19,993: INFO: common: created directory at: artifacts]
[2024-08-21 23:40:19,994: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:40:19,997: INFO: 1876324344: Kaggle API Authenticated]
[2024-08-21 23:40:19,998: INFO: 1876324344: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:40:20,388: INFO: 1876324344: Downloaded dataset from kaggle to artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:40:50,138: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:40:50,139: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:40:50,139: INFO: common: created directory at: artifacts]
[2024-08-21 23:40:50,140: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:40:50,143: INFO: 1876324344: Kaggle API Authenticated]
[2024-08-21 23:40:50,144: INFO: 1876324344: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:40:55,627: INFO: 1876324344: Downloaded dataset from kaggle to artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:57:06,671: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:57:06,673: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:57:06,673: INFO: common: created directory at: artifacts]
[2024-08-21 23:57:06,674: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:57:06,678: INFO: 782049457: Kaggle API Authenticated]
[2024-08-21 23:57:06,679: INFO: 782049457: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:57:07,118: INFO: 782049457: Downloaded dataset from kaggle to artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:57:07,840: INFO: 782049457: Extracted dataset to artifacts/data_ingestion]
[2024-08-21 23:59:32,273: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:59:32,274: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:59:32,275: INFO: common: created directory at: artifacts]
[2024-08-21 23:59:32,275: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:59:32,278: INFO: 782049457: Kaggle API Authenticated]
[2024-08-21 23:59:32,279: INFO: 782049457: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/]
[2024-08-21 23:59:37,021: INFO: 782049457: Downloaded dataset from kaggle to artifacts/data_ingestion/]
[2024-08-21 23:59:37,656: INFO: 782049457: Extracted dataset to artifacts/data_ingestion]
